concept,deps,dep_articles
Spanning tree,"['graph', 'edge', 'tree']","['Graph (discrete mathematics)', 'Graph (discrete mathematics)', 'Tree (graph theory)']"
Gaussian elimination,"['arithmetic mean', 'arithmetic mean square', 'remainder']","['Arithmetic mean', 'Arithmetic mean', 'Remainder']"
Vanish at infinity,"['point', 'space', 'distance']","['Point (geometry)', 'Space (mathematics)', 'Distance']"
Curve fitting,"['data set', 'curve', 'fit']","['Set (abstract data type)', 'Curve']"
Convex function,"['continuous', 'interval', 'function']","['Continuous function', 'Interval (mathematics)', 'Function (mathematics)']"
Random matrix,"['uniform distribution', 'matrix', 'element']","['Normal distribution', 'Matrix (mathematics)', 'Element (mathematics)']"
Convergent series,"['converge', 'number', 'sequence']","['Limit (mathematics)', 'Number', 'Sequence']"
Hamming bound,"['set', 'curve', 'function']","['Set (mathematics)', 'Curve', 'Function (mathematics)']"
Electric generator,"['device', 'energy', 'convert']","['Abacus', 'Energy', 'Vector (mathematics and physics)']"
Compact operator on Hilbert space,"['Hilbert space', 'operator', 'bounded']","['Hilbert space', 'Operator (mathematics)', 'Bounded set']"
Collatz conjecture,"['line', 'point', 'line segment']","['Line (geometry)', 'Point (geometry)', 'Line segment']"
Cayley–Hamilton theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Least-squares spectral analysis,"['Frequency content', 'signal', 'method']","['Spectral density', 'Signal', 'Mathematics']"
Lagrange's identity,"['map', 'function', 'number']","['Map (mathematics)', 'Function (mathematics)', 'Number']"
Taxicab geometry,"['vehicle', 'transport', 'cab']","['Function (mathematics)', 'Matrix (mathematics)', 'Pi (film)']"
Annihilator (ring theory),"['ring', 'subring', 'ring property']","['Ring (mathematics)', 'Subring', 'Ring theory']"
If and only if,"['if', 'only if']","['Set (mathematics)', 'Matrix (mathematics)']"
Pivot element,"['line', 'point', 'line segment']","['Line (geometry)', 'Point (geometry)', 'Line segment']"
Descartes' rule of signs,"['rule of signs', 'prime number']","['Equals sign', 'Prime number']"
Moment (mathematics),"['moment', 'inertia', 'mass']","['Inertia', 'Mass']"
Inversion (discrete mathematics),['Inverse operation'],['Inverse function']
Ring homomorphism,"['ring', 'map', 'ring theory']","['Ring (mathematics)', 'Map (mathematics)', 'Ring theory']"
Canonical basis,"['set', 'plane', 'point']","['Set (mathematics)', 'Plane (geometry)', 'Point (geometry)']"
Noncommutative ring,"['commutativity', 'ring', 'element']","['Commutative ring', 'Ring (mathematics)', 'Element (mathematics)']"
Covariant derivative,"['covariant derivative', 'covariant function']",[]
Imaginary number,"['number theory', 'complex number']","['Number theory', 'Complex number']"
Dilation (morphology),"['change', 'shape', 'size']","['Rate (mathematics)', 'Shape', 'Size']"
Maple (software),"['computer', 'system', 'algebra']","['Computer science', 'Mathematics', 'Algebra']"
Rotation matrix,"['matrix', 'axis', 'rotate']","['Matrix (mathematics)', 'Axis', 'Rotation']"
Absolute value,"['absolute value', 'number', 'concept']","['Number', 'Concept']"
Cube root,"['ratio', 'root', 'square']","['Ratio', 'Root (disambiguation)', 'Square']"
Round-off error,"['deviation', 'value', 'true']","['Deviation (statistics)', 'Truth value', 'Mathematics']"
Complement,"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Isomorphism theorems,"['theorem', 'identity', 'subset']","['Theorem', 'Identity (mathematics)', 'Subset']"
Ring (mathematics),"['group', 'element', 'arrange']","['Group (mathematics)', 'Element (mathematics)', 'Matrix (mathematics)']"
Leibniz formula for determinants,"['matrix', 'determinant', 'formula']","['Matrix (mathematics)', 'Determinant', 'Formula']"
Row equivalence,"['set', 'column', 'row']","['Set (mathematics)', 'Matrix (mathematics)', 'Rank (linear algebra)']"
Parallel transport,"['transport mechanism', 'time', 'transfer']","['Higgs mechanism', 'Local time (mathematics)', 'Matrix (mathematics)']"
Poisson sampling,"['sampling', 'technique', 'probability']","['Sampling (statistics)', 'Finance', 'Probability']"
Separation of variables,"['technique', 'analyze', 'equation']","['Finance', 'Mathematical game', 'Equation']"
Fermat's principle,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Cross-correlation,"['measure', 'correlation', 'variable']","['Measure (mathematics)', 'Correlation', 'Variable (mathematics)']"
Algebra,"['system', 'symbol', 'operation']","['Mathematics', 'Radical symbol', 'Operation (mathematics)']"
History of mathematics,"['collection', 'work', 'mathematical']","['Mathematics', 'Mathematics', 'Mathematics']"
Normal basis,"['set', 'point', 'line']","['Set (mathematics)', 'Point (geometry)', 'Line (geometry)']"
Integer,"['number', 'whole', 'number system']","['Number', 'Locus (mathematics)', 'Number']"
Symmetric tensor,"['axis', 'symmetry', 'tensor']","['Axis', 'Symmetry', 'Tensor']"
Projective plane,"['x-axis', 'y-axis']","['Axis', 'Function (mathematics)']"
Homogeneity (disambiguation),"['homogeneous', 'symmetry', 'equivalence']","['Symmetry', 'Equivalence class']"
Covariance,"['measure', 'variability', 'random']","['Measure (mathematics)', 'Human variability', 'Random walk']"
Singular submodule,"['subgroup', 'group', 'submodule']","['Subgroup', 'Group (mathematics)', 'Module (mathematics)']"
Non-linear least squares,"['method', 'solve', 'equation']","['Mathematics', 'Solver', 'Equation']"
Pseudo-reductive group,['group and element'],['Coxeter element']
Data compression,['Data compression'],[]
Direct sum,"['arithmetic mean', 'sum']","['Arithmetic mean', 'Series (mathematics)']"
QR decomposition,"['matrix', 'real number', 'number']","['Matrix (mathematics)', 'Real number', 'Number']"
Cyclic subspace,"['tangent line', 'surface', 'sphere']","['Tangent space', 'Surface (mathematics)', 'Sphere']"
Eigendecomposition of a matrix,"['matrix', 'eigenvalue', 'row']","['Matrix (mathematics)', 'Degeneracy (mathematics)', 'Rank (linear algebra)']"
Nonnegative matrix,"['matrix', 'diagonal', 'element']","['Matrix (mathematics)', 'Diagonal', 'Element (mathematics)']"
Altitude (triangle),"['line', 'triangle', 'vertices']","['Line (geometry)', 'Triangle', 'Vertex (graph theory)']"
Generator (mathematics),"['current', 'device', 'produce']","['Current (mathematics)', 'Abacus', 'Parity (mathematics)']"
List of theorems,"['theorem', 'collection', 'theorem']","['Theorem', 'Mathematics', 'Theorem']"
Mutual exclusivity,"['property', 'set', 'element']","['Property (mathematics)', 'Set (mathematics)', 'Element (mathematics)']"
History of logarithms,"['natural logarithm', 'sequence', 'number']","['Natural logarithm', 'Sequence', 'Number']"
Power iteration,"['operation', 'sequence', 'power']","['Operation (mathematics)', 'Sequence', 'Set (mathematics)']"
Algebraic expression,"['expression', 'number', 'symbol']","['Expression (mathematics)', 'Number', 'Radical symbol']"
Fixed point (mathematics),"['point', 'curve', 'gradient']","['Point (geometry)', 'Curve', 'Gradient']"
Cubic equation,"['coefficient', 'polynomial', 'equation']","['Coefficient', 'Polynomial', 'Equation']"
Normal form (dynamical systems),"['set', 'system', 'state']","['Set (mathematics)', 'Mathematics', 'Function (mathematics)']"
Antisymmetric tensor,"['tensor', 'symmetry', 'tensor product']","['Tensor', 'Symmetry', 'Tensor product']"
Determinant,['prime number'],['Prime number']
Minor (linear algebra),"['group', 'real number', 'subgroup']","['Group (mathematics)', 'Real number', 'Subgroup']"
Note-taking,"['process', 'information', 'record']","['Process', 'Mathematics', 'Matrix (mathematics)']"
Scalar curvature,"['surface', 'measure', 'curvature']","['Surface (mathematics)', 'Measure (mathematics)', 'Curvature']"
Weyr canonical form,"['set', 'polygon', 'vertex']","['Set (mathematics)', 'Polygon', 'Vertex (geometry)']"
Partial differential equation,"['differential equation', 'partial differential equation']",['Differential equation']
Analytic geometry,"['curve', 'theory', 'geometry']","['Curve', 'Set theory', 'Geometry']"
Point-biserial correlation coefficient,"['measure', 'vector', 'correlation']","['Measure (mathematics)', 'Vector (mathematics and physics)', 'Correlation']"
Linear group,"['group', 'element', 'elemental']","['Group (mathematics)', 'Element (mathematics)', 'Measurement']"
Radius,"['diameter', 'circle', 'length']","['Diameter (disambiguation)', 'Circle', 'Length']"
Operator theory,"['operator theory', 'mathematical analysis']",['Mathematical analysis']
Schrödinger equation,"['differential equation', 'medium', 'particle']","['Differential equation', 'Wave', 'Particle']"
Polar decomposition,"['encoding', 'signal', 'polarization']","['OMS encoding', 'Signal', 'Photon polarization']"
Well-posed problem,"['problem', 'solution', 'unique']","['Word problem (mathematics)', 'Equation', 'Closure (mathematics)']"
Product rule,"['product', 'quantity', 'rule']","['Product (mathematics)', 'Quantity', ""Cramer's rule""]"
Fractal,"['set', 'point', 'repeat']","['Set (mathematics)', 'Point (geometry)', 'Pattern']"
Order of operations,"['order', 'sequence', 'operation']","['Mathematics', 'Sequence', 'Operation (mathematics)']"
QR algorithm,"['algorithm', 'recursion', 'function']","['Algorithm', 'Recursion', 'Function (mathematics)']"
ALGOL 58,"['recursion', 'function', 'function call']","['Recursion', 'Function (mathematics)', 'Function (mathematics)']"
Matrix multiplication algorithm,"['matrix', 'multiply', 'method']","['Matrix (mathematics)', 'Matrix (mathematics)', 'Mathematics']"
Fibonacci,"['number', 'sequence', 'pattern']","['Number', 'Sequence', 'Pattern']"
Orthographic projection,"['surface', 'plane', 'projection']","['Surface (mathematics)', 'Plane (geometry)', 'Projection (mathematics)']"
Scalar projection,"['vector', 'plane', 'projection']","['Vector (mathematics and physics)', 'Plane (geometry)', 'Projection (mathematics)']"
Least-squares function approximation,"['function', 'minimize', 'difference']","['Function (mathematics)', 'Function (mathematics)', 'Finite difference']"
Binary relation,['binary operator'],['Binary operation']
Null vector,"['y-intercept', 'x-axis']","['Y-intercept', 'Axis']"
Circle,"['tangent', 'figure', 'end']","['Tangent', 'Shape', 'Curl (mathematics)']"
Kernel (linear algebra),['vector space'],['Vector space']
Dirichlet eigenvalue,"['eigenvalue', 'eigenvector', 'ratio']","['Degeneracy (mathematics)', 'Eigenface', 'Ratio']"
Cayley graph,"['directed line', 'graph', 'edge']","['Directed graph', 'Graph (discrete mathematics)', 'Graph (discrete mathematics)']"
Square,"['length', 'side', 'figure']","['Length', 'Parity (mathematics)', 'Shape']"
Smooth maximum,"['point', 'curve', 'value']","['Point (geometry)', 'Curve', 'Truth value']"
Vector algebra,"['vector space', 'system', 'equation']","['Vector space', 'Mathematics', 'Equation']"
Chinese remainder theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Code,"['bit', 'sequence', 'bit rate']","['Bit', 'Sequence', 'Rate (mathematics)']"
Riffle shuffle permutation,"['set', 'element', 'permutation']","['Set (mathematics)', 'Element (mathematics)', 'Permutation']"
Comparative advantage,"['country', 'measure', 'advantage']","['Parity (mathematics)', 'Measure (mathematics)', 'Function (mathematics)']"
Band matrix,"['matrix', 'rank', 'element']","['Matrix (mathematics)', 'Rank (linear algebra)', 'Element (mathematics)']"
Junction Grammar,"['subject', 'object', 'conjunction']","['Mathematics', 'Category (mathematics)', 'Great conjunction']"
Complex multiplication,"['complex number', 'multiplication']","['Complex number', 'Multiplication']"
Rotation formalisms in three dimensions,"['kinematics', 'motion', 'space']","['Kinematics', 'Motion', 'Space (mathematics)']"
Partial fraction decomposition,"['partial fraction', 'fraction', 'multiply']","['Unit fraction', 'Fraction', 'Matrix (mathematics)']"
Enigma machine,"['cipher', 'machine', 'encipher']","['Cipher', 'Machine', 'Cipher']"
Linear interpolation,"['function', 'transform', 'interpolate']","['Function (mathematics)', 'Z-transform', 'Interpolation']"
Shuffling,"['probability', 'distribution', 'and sampling']","['Probability', 'Distribution (mathematics)', 'Sampling (statistics)']"
Deviation (statistics),['a measure of the spread of a population'],['Standard deviation']
Exponential decay,"['time', 'function', 'decrease']","['Local time (mathematics)', 'Function (mathematics)', 'Sequence']"
Dimension,"['measure', 'distance', 'time']","['Measure (mathematics)', 'Distance', 'Local time (mathematics)']"
Doubly stochastic matrix,['stochastic matrix'],['Stochastic matrix']
Sobolev inequality,"['bounded', 'solution', 'function']","['Bounded set', 'Equation', 'Function (mathematics)']"
Cardinality,"['number', 'divisor', 'number']","['Number', 'Divisor', 'Number']"
Axis mundi,"['axis', 'Earth', 'rotate']","['Axis', 'Earth', 'Rotation']"
Recursive language,"['recursion', 'language', 'arithmetic']","['Recursion', 'Formal language', 'Arithmetic']"
Spectrum of a matrix,"['set', 'element', 'matrix']","['Set (mathematics)', 'Element (mathematics)', 'Matrix (mathematics)']"
Sensitivity analysis,"['sensitivity', 'model', 'change']","['Sensitivity (electronics)', 'Mathematics', 'Rate (mathematics)']"
Wavelet transform,"['transform', 'frequency', 'preserve']","['Z-transform', 'Frequency (statistics)', 'Isometry']"
Scattering,"['probability', 'process', 'random']","['Probability', 'Process', 'Random walk']"
Symmetry,"['set', 'mirror', 'image']","['Set (mathematics)', 'Mirror', 'Image (mathematics)']"
Abstraction (mathematics),['a mathematical concept that is not a real object'],['Mathematical object']
Long division,['division by zero'],['Division by zero']
Basia,"['syllable', 'meter', 'rhythm']","['Sigma', 'Metre', 'Clave (rhythm)']"
Leading-order term,"['term', 'series', 'term']","['Quadrature (mathematics)', 'Series (mathematics)', 'Quadrature (mathematics)']"
Nearest neighbor search,"['algorithm', 'algorithmic', 'math']","['Algorithm', 'Algorithm', 'Math 55']"
Fredholm determinant,"['matrix', 'determinant', 'matrix multiplication']","['Matrix (mathematics)', 'Determinant', 'Matrix multiplication']"
Antiunitary operator,"['converge', 'solution', 'function']","['Limit (mathematics)', 'Equation', 'Function (mathematics)']"
Minkowski addition,"['addition', 'quantity', 'operation']","['Addition', 'Quantity', 'Operation (mathematics)']"
Trace theory,"['kinematics', 'trajectories', 'medium']","['Kinematics', 'Trajectory', 'Wave']"
Stress (mechanics),"['stress', 'force', 'body']","['Force', 'Rigid body']"
Parallel (geometry),"['line', 'parallel', 'line segment']","['Line (geometry)', 'Parallel (operator)', 'Line segment']"
Axiomatic system,"['proof', 'axiom', 'system']","['Proof theory', 'Axiom', 'Mathematics']"
List of important publications in mathematics,"['list', 'publication', 'mathematics']","['Mathematics', 'Mathematics', 'Mathematics']"
Cam,"['convex combination', 'curve', 'combination']","['Convex combination', 'Curve', 'Combination']"
Constant function,"['zero', 'function', 'equal']","['0', 'Function (mathematics)', 'Equality (mathematics)']"
Projection-slice theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Sesquilinear form,"['polynomial', 'curve', 'combination']","['Polynomial', 'Curve', 'Combination']"
Einstein field equations,"['differential equation', 'motion', 'body']","['Differential equation', 'Motion', 'Rigid body']"
Distance matrix,"['distance matrix', 'graph', 'point']","['Graph (discrete mathematics)', 'Point (geometry)']"
Anti-diagonal matrix,"['matrix', 'diagonal', 'element']","['Matrix (mathematics)', 'Diagonal', 'Element (mathematics)']"
Giuseppe Peano,"['number', 'mathematician', 'concept']","['Number', 'Mathematician', 'Concept']"
Reflection group,"['group', 'mirror', 'element']","['Group (mathematics)', 'Mirror', 'Element (mathematics)']"
Complex conjugate representation,"['complex number', 'representation']","['Complex number', 'Representation (mathematics)']"
Inverse hyperbolic functions,"['hyperbolic function', 'inverse hyperbolic function']",['Hyperbolic functions']
Representation theory,"['theory of structure', 'mathematical object']","['Mathematical structure', 'Mathematical object']"
Apollonius of Perga,"['arithmetic', 'geometry', 'and algebra']","['Arithmetic', 'Geometry', 'Algebra']"
Natural logarithm,"['digit', 'number', 'ratio']","['Digit sum', 'Number', 'Ratio']"
Root (disambiguation),"['coefficient', 'polynomial', 'root']","['Coefficient', 'Polynomial']"
Symmetry (geometry),"['set', 'mirror', 'figure']","['Set (mathematics)', 'Mirror', 'Shape']"
Iteration,"['process', 'repetition', 'execution']","['Process', 'Concurrency (computer science)']"
Geometric progression,"['number', 'step', 'sequence']","['Number', 'Equation', 'Sequence']"
Complexification,"['entropy', 'system', 'interact']","['Entropy (information theory)', 'Mathematics', 'Matrix (mathematics)']"
Graph of a function,"['graph', 'function', 'representation']","['Graph (discrete mathematics)', 'Function (mathematics)', 'Representation (mathematics)']"
Laplace distribution,"['distribution', 'mean', 'variance']","['Distribution (mathematics)', 'Mean', 'Variance']"
Low basis theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Matroid rank,"['symmetry', 'degree', 'group']","['Symmetry', 'Degree (graph theory)', 'Group (mathematics)']"
Scientific notation,"['system', 'number', 'write']","['Mathematics', 'Number', 'Matrix (mathematics)']"
Invariant (mathematics),"['change', 'changeable', 'object']","['Rate (mathematics)', 'Variable (mathematics)', 'Category (mathematics)']"
Quotient rule,"['product', 'quotient', 'sum']","['Product (mathematics)', 'Quotient', 'Series (mathematics)']"
Logical matrix,"['product', 'matrix', 'vector']","['Product (mathematics)', 'Matrix (mathematics)', 'Vector (mathematics and physics)']"
Absorption law,"['law', 'physics', 'concept']","['Mathematics', 'Physics', 'Concept']"
Identity function,['identity of a function'],[]
Convergence of random variables,"['property', 'probability', 'event']","['Property (mathematics)', 'Probability', 'Probability']"
Pseudovector,"['line segment', 'vector', 'segment']","['Line segment', 'Vector (mathematics and physics)', 'Line segment']"
Inverse problem,"['problem', 'solution', 'problem']","['Word problem (mathematics)', 'Equation', 'Word problem (mathematics)']"
Orientation character,"['character', 'character', 'language']","['Character (mathematics)', 'Character (mathematics)', 'Formal language']"
Trinomial expansion,"['polynomial', 'function', 'graph']","['Polynomial', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Lowest common denominator,"['LCMD', 'LCMD(x)', 'LCMD(y)', 'LCMD(z)']","[None, None, None, None]"
Lemma (mathematics),"['theorem', 'statement', 'theorem']","['Theorem', 'Mathematics', 'Theorem']"
Axiom,"['statement', 'truth', 'statement']","['Mathematics', 'Truth', 'Mathematics']"
String (computer science),"['number', 'character', 'sequence']","['Number', 'Character (mathematics)', 'Sequence']"
Grandi's series,"['prime number', 'order', 'sequence']","['Prime number', 'Mathematics', 'Sequence']"
Characteristic equation (calculus),"['line', 'point', 'interest']","['Line (geometry)', 'Point (geometry)', 'Interest']"
Unitary operator,"['operator', 'function', 'argument']","['Operator (mathematics)', 'Function (mathematics)', 'Argument (complex analysis)']"
Knowledge economy,"['knowledge', 'system', 'production']","['Knowledge', 'Mathematics', 'Production (economics)']"
Change of variables,"['change', 'value', 'variable']","['Rate (mathematics)', 'Truth value', 'Variable (mathematics)']"
Transformation semigroup,"['group', 'transformation', 'group member']","['Group (mathematics)', 'Transformation (function)', 'Algebra']"
Symmetric group,"['group', 'element', 'subgroup']","['Group (mathematics)', 'Element (mathematics)', 'Subgroup']"
Multiplicative inverse,"['inverse', 'function', 'multiplicative']","['Inverse function', 'Function (mathematics)', 'Multiplication']"
Closure (mathematics),"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Finite set,"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Block-stacking problem,"['problem', 'set', 'order']","['Word problem (mathematics)', 'Set (mathematics)', 'Mathematics']"
Weighing matrix,"['matrix', 'weight', 'determine']","['Matrix (mathematics)', 'Weight', 'Determinant']"
Inductive reasoning,"['deductive reasoning', 'logic']","['Deductive reasoning', 'Logic']"
Linear system,"['time', 'function', 'equation']","['Local time (mathematics)', 'Function (mathematics)', 'Equation']"
Characteristic (algebra),"['property', 'element', 'set']","['Property (mathematics)', 'Element (mathematics)', 'Set (mathematics)']"
Euclidean distance,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Basis (linear algebra),"['set', 'vector', 'vector space']","['Set (mathematics)', 'Vector (mathematics and physics)', 'Vector space']"
Sobolev space,"['set', 'function', 'mapping']","['Set (mathematics)', 'Function (mathematics)', 'Map (mathematics)']"
Generation of primes,"['prime numbers', 'number theory']","['Prime number', 'Number theory']"
Isomorphism,"['isomorphism', 'property', 'set']","['Property (mathematics)', 'Set (mathematics)']"
Creation and annihilation operators,"['operator', 'create', 'object']","['Operator (mathematics)', 'Function (mathematics)', 'Category (mathematics)']"
Hölder's inequality,"['f(x)', 'function', 'x']","['E (mathematical constant)', 'Function (mathematics)', 'Function (mathematics)']"
Perfect number,"['number', 'divisor', 'remainder']","['Number', 'Divisor', 'Remainder']"
Constant term,"['term', 'term', 'term']","['Quadrature (mathematics)', 'Quadrature (mathematics)', 'Quadrature (mathematics)']"
Multiplication sign,['Multiplication'],['Multiplication']
Jordan normal form,"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Variational inequality,"['product', 'condition', 'difference']","['Product (mathematics)', 'Kutta condition', 'Finite difference']"
Data transformation (statistics),"['operation', 'set', 'data']","['Operation (mathematics)', 'Set (mathematics)', 'Mathematics']"
Basic reproduction number,"['ratio', 'number', 'chromosome']","['Ratio', 'Number', 'Turner syndrome']"
Integration by substitution,"['method', 'solve', 'equation']","['Mathematics', 'Solver', 'Equation']"
Central line (geometry),"['centre', 'line', 'figure']","['Mathematics', 'Line (geometry)', 'Shape']"
Involutory matrix,"['matrix', 'matrix multiplication', 'matrix']","['Matrix (mathematics)', 'Matrix multiplication', 'Matrix (mathematics)']"
Set (mathematics),"['collection', 'object', 'number']","['Mathematics', 'Category (mathematics)', 'Number']"
Baden Powell (mathematician),"['symplectic geometry', 'symplectic manifold', 'symplectic geometry']","['Symplectic geometry', 'Symplectic manifold', 'Symplectic geometry']"
Dirac equation,"['field', 'solution', 'equation']","['Field (mathematics)', 'Equation', 'Equation']"
Titanic (1997 film),"['ship', 'sink', 'math']","['Spline (mathematics)', 'Sink (disambiguation)', 'Math 55']"
Unit vector,"['vector', 'set', 'sum']","['Vector (mathematics and physics)', 'Set (mathematics)', 'Series (mathematics)']"
Einstein notation,"['notation', 'function', 'inverse']","['Summation', 'Function (mathematics)', 'Inverse function']"
Sign (mathematics),"['negative number', 'sign', 'signum']",['Negative number']
Trigonometric functions,"['set', 'number', 'operation']","['Set (mathematics)', 'Number', 'Operation (mathematics)']"
Logarithmic derivative,"['ratio', 'number', 'logarithm']","['Ratio', 'Number', 'Logarithm']"
Cauchy–Binet formula,"['field', 'polynomial', 'inverse']","['Field (mathematics)', 'Polynomial', 'Inverse function']"
Polynomial remainder theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Glide reflection,"['wave', 'reflection', 'surface']","['Wave', 'Reflection (mathematics)', 'Surface (mathematics)']"
Initial condition,"['set', 'condition', 'process']","['Set (mathematics)', 'Kutta condition', 'Process']"
Neural decoding,"['process', 'computer', 'understand']","['Process', 'Computer science', 'New Math']"
Quadrant (plane geometry),['quadrant (geometry)'],['Taxicab geometry']
Irreducible polynomial,"['coefficient', 'sign', 'polynomial']","['Coefficient', 'Sign (mathematics)', 'Polynomial']"
Flatland,"['surface', 'feature', 'dimension']","['Surface (mathematics)', 'Feature (computer vision)', 'Dimension']"
Algebraic equation,"['function', 'system', 'equation']","['Function (mathematics)', 'Mathematics', 'Equation']"
Vertex (graph theory),"['graph', 'point', 'line']","['Graph (discrete mathematics)', 'Point (geometry)', 'Line (geometry)']"
Robin boundary condition,"['set', 'surface', 'point']","['Set (mathematics)', 'Surface (mathematics)', 'Point (geometry)']"
Quantum information,"['quantum state', 'system', 'description']","['Quantum state', 'Mathematics', 'Description']"
Head/tail breaks,"['reversal', 'direction', 'trend']","['Pi (film)', 'Vector (mathematics and physics)', 'Matrix (mathematics)']"
De Moivre's theorem,"['theorem', 'geometry', 'theorem']","['Theorem', 'Geometry', 'Theorem']"
Signature (logic),"['logical consequence', 'statement', 'truth']","['Logical consequence', 'Mathematics', 'Truth']"
Transfinite induction,"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Law of sines,"['ratio', 'circle', 'diameter']","['Ratio', 'Circle', 'Diameter (disambiguation)']"
Multivariate statistics,['multivariate analysis'],[]
Matrix multiplication,"['matrix', 'multiplication']","['Matrix (mathematics)', 'Multiplication']"
Monomial,"['number', 'group', 'number']","['Number', 'Group (mathematics)', 'Number']"
Cis (mathematics),"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Radiometric dating,"['isotopic ratio', 'parent mineral', 'daughter mineral']","['Isotopic signature', 'Patterns in nature', 'John Dee']"
Extrapolation,"['function', 'estimate', 'technique']","['Function (mathematics)', 'Estimator', 'Finance']"
Google matrix,"['matrix', 'matrix multiplication']","['Matrix (mathematics)', 'Matrix multiplication']"
Arc length,"['arc', 'length', 'angle']","['Curve', 'Length', 'Angle']"
Translation (geometry),"['translation', 'point', 'space']","['Point (geometry)', 'Space (mathematics)']"
Linear independence,"['property', 'function', 'independent']","['Property (mathematics)', 'Function (mathematics)', 'Independence (mathematical logic)']"
Probability,"['probability', 'event', 'measure']",['Measure (mathematics)']
Flow network,"['graph theory', 'directed graph', 'node']","['Graph theory', 'Directed graph', 'Node']"
Representation (mathematics),"['mathematical object', 'represent', 'object']","['Mathematical object', 'Mathematics', 'Category (mathematics)']"
Level-set method,"['minimization', 'function', 'sum']","['DFA minimization', 'Function (mathematics)', 'Series (mathematics)']"
Subspace topology,['topology of a subspace'],['Topological space']
Line chart,"['time', 'graph', 'change']","['Local time (mathematics)', 'Graph (discrete mathematics)', 'Rate (mathematics)']"
Fusion power,"['fusion', 'reaction', 'energy']","['Data fusion', 'Reaction rate', 'Energy']"
Ball (mathematics),"['surface', 'volume', 'spherical']","['Surface (mathematics)', 'Volume', 'Spherical cap']"
Error,"['deviation', 'value', 'true']","['Deviation (statistics)', 'Truth value', 'Mathematics']"
Diagonalizable group,"['group', 'point', 'line']","['Group (mathematics)', 'Point (geometry)', 'Line (geometry)']"
Invariance of domain,"['property', 'set', 'object']","['Property (mathematics)', 'Set (mathematics)', 'Category (mathematics)']"
Radical extension,"['polynomial', 'root', 'square']","['Polynomial', 'Root (disambiguation)', 'Square']"
Matrix unit,"['length', 'unit', 'length unit']","['Length', 'Unit (ring theory)', 'Planck units']"
Partition function (mathematics),"['set', 'function', 'number']","['Set (mathematics)', 'Function (mathematics)', 'Number']"
Rhombus,"['polygon', 'side', 'equal']","['Polygon', 'Parity (mathematics)', 'Equality (mathematics)']"
Coset,"['coset', 'coset group', 'coset product']","['Quotient group', 'Subgroup']"
Polar coordinate system,"['x', 'y', 'z']","['Function (mathematics)', 'Locus (mathematics)', 'Z']"
Commutative algebra,"['group', 'element', 'arrange']","['Group (mathematics)', 'Element (mathematics)', 'Matrix (mathematics)']"
Mindset,"['set', 'belief', 'nature']","['Set (mathematics)', 'Belief', 'Nature']"
Indexed family,"['family', 'function', 'space']","['Family (disambiguation)', 'Function (mathematics)', 'Space (mathematics)']"
Nakayama's lemma,"['set', 'element', 'subset']","['Set (mathematics)', 'Element (mathematics)', 'Subset']"
Fundamental theorem of algebra,"['group', 'subgroup', 'identity element']","['Group (mathematics)', 'Subgroup', 'Identity element']"
Area of a circle,"['area', 'circle', 'measure']","['Area', 'Circle', 'Measure (mathematics)']"
Constrained optimization,"['function', 'problem', 'solution']","['Function (mathematics)', 'Word problem (mathematics)', 'Equation']"
Cartesian product,"['product', 'vector', 'vector product']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Cross product']"
Intermediate value theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Music and mathematics,"['system', 'rule', 'express']","['Mathematics', ""Cramer's rule"", 'Matrix (mathematics)']"
Factor analysis,"['Data set', 'statistical technique', 'remove']","['Set (abstract data type)', 'Statistics', 'Matrix (mathematics)']"
Spectral density,"['absorption coefficient', 'frequency', 'wave']","['Attenuation coefficient', 'Frequency (statistics)', 'Wave']"
Toral subalgebra,"['subalgebra', 'toric', 'algebra']","['Subalgebra', 'Toric code', 'Algebra']"
Molecular dynamics,"['kinematics', 'kinematics', 'molecular dynamics']","['Kinematics', 'Kinematics']"
Dyad (sociology),"['pair', 'individual', 'couple']","['Pairing', 'Matrix (mathematics)', 'Tusi couple']"
