concept,dep_articles_de2,dep_articles_de3,dep_articles
Orientation character,"['Orthogonal matrix', 'Orthonormal basis']","['Cartesian coordinate system', 'Angle', 'Isometry', 'Matrix (mathematics)', 'Reflection (mathematics)']","['Isometry', 'Angle', 'Reflection (mathematics)', 'Cartesian coordinate system', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)']"
Trinomial expansion,[],"['Binomial coefficient', 'Coefficient', 'Binomial theorem', 'Pascal (unit)', 'Triangle']","['Triangle', 'Binomial coefficient', 'Pascal (unit)', 'Coefficient', 'Binomial theorem']"
Analytic function,['Vector space'],"['Function (mathematics)', 'Scalar multiplication', 'Euclidean vector', 'Vector space', 'Polynomial']","['Function (mathematics)', 'Vector space', 'Euclidean vector', 'Polynomial', 'Scalar multiplication']"
Woodbury matrix identity,['Symmetric matrix'],"['Matrix (mathematics)', 'Identity matrix', 'Division (mathematics)', 'Zero of a function', 'Matrix multiplication']","['Symmetric matrix', 'Identity matrix', 'Matrix multiplication', 'Division (mathematics)', 'Zero of a function', 'Matrix (mathematics)']"
Implicit function,['Parametric surface'],"['System of linear equations', 'Parameter', 'Parametric equation', 'Equation', 'Lincoln Near-Earth Asteroid Research']","['Parameter', 'Parametric surface', 'Lincoln Near-Earth Asteroid Research', 'System of linear equations', 'Equation', 'Parametric equation']"
Null set,"['Linear subspace', 'Kernel (image processing)', 'Minkowski space', 'Linear map', 'Image (mathematics)']","['Field extension', 'Vector space', 'Kernel (linear algebra)', 'Matrix (mathematics)', 'Linear map']","['Field extension', 'Vector space', 'Matrix (mathematics)', 'Linear subspace']"
Similarity (geometry),"['Linear equation', 'Matrix equivalence']","['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Matrix similarity', 'Diagonal matrix', 'Rotation matrix']","['Rotation matrix', 'Linear equation', 'Diagonal matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Orthographic projection,"['Orthogonal complement', 'Projection (linear algebra)', 'Projection (mathematics)', 'Orthogonality (mathematics)', 'Orthographic projection']","['Projection (linear algebra)', 'Orthogonality', 'Euclidean vector', 'Orthogonal complement', 'Linear subspace']","['Orthogonality (mathematics)', 'Euclidean vector', 'Linear subspace', 'Orthogonality', 'Projection (mathematics)', 'Projection (linear algebra)']"
Square root of a matrix,"['Orthogonal matrix', 'Transformation matrix']","['Matrix (mathematics)', 'Column', 'Diagonal matrix', 'Field extension', 'Algebra']","['Algebra', 'Transformation matrix', 'Field extension', 'Column', 'Matrix (mathematics)']"
Order of operations,"['Matrix multiplication', 'Module (mathematics)', 'Examples of vector spaces', 'Associative property', 'Commutative property']","['Matrix (mathematics)', 'Linear algebra', 'Algebra', 'Euclidean vector', 'Matrix multiplication']","['Examples of vector spaces', 'Algebra', 'Associative property', 'Module (mathematics)', 'Linear algebra', 'Commutative property']"
Complex conjugate root theorem,"['Complex number', 'Fundamental theorem of algebra', 'Weierstrass factorization theorem']","['Complex conjugate', 'Complex number', 'Conjugacy class', 'Polynomial', 'Real number']","['Conjugacy class', 'Real number', 'Polynomial', 'Complex conjugate', 'Complex number']"
Random walk,[],"['Matrix (mathematics)', 'Dimension', 'Kernel (operating system)', 'Vector space', 'Polynomial']","['Vector space', 'Dimension', 'Kernel (operating system)', 'Polynomial', 'Matrix (mathematics)']"
Arrows (Unicode block),[],"['Euclidean vector', 'Coordinate system', 'Geometry', 'Exercise', 'Function (mathematics)']","['Function (mathematics)', 'Coordinate system', 'Geometry', 'Euclidean vector', 'Exercise']"
Singular value decomposition,"['Singular value', 'Linear independence']","['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Linear algebra', 'Diagonal matrix', 'Decomposition']","['Diagonal matrix', 'Matrix (mathematics)', 'Singular value', 'Linear algebra', 'Decomposition', 'Linear independence']"
Natural transformation,[],"['Linear map', 'Matrix (mathematics)', 'Dimension (vector space)', '.example', 'Field extension']","['Dimension (vector space)', 'Linear map', '.example', 'Field extension', 'Matrix (mathematics)']"
Inner product space,"['Vector notation', 'Geometric algebra', 'Geometric series', 'Unit vector', 'Norm (mathematics)']","['Field extension', 'Euclidean vector', 'Complex conjugate', 'Real number', 'Dot product']","['Unit vector', 'Vector notation', 'Euclidean vector', 'Real number', 'Geometric series', 'Dot product', 'Geometric algebra', 'Field extension']"
Noether's theorem,['System of linear equations'],"['Complex number', 'Integer (computer science)', 'Real number', 'Field (mathematics)', 'Scalar (mathematics)']","['Field (mathematics)', 'Integer (computer science)', 'Real number', 'System of linear equations', 'Complex number', 'Scalar (mathematics)']"
Vector calculus,"['Euclidean vector', 'Vector space', 'Vector notation', 'Matrix (mathematics)', 'Vector (mathematics and physics)']","['Euclidean vector', 'Parallel (geometry)', 'Zero element', 'Scalar multiplication', 'Scalar (mathematics)']","['Vector notation', 'Vector space', 'Euclidean vector', 'Vector (mathematics and physics)', 'Parallel (geometry)', 'Zero element', 'Scalar multiplication', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Matrix splitting,"[""Horner's method"", 'Mathematics']","['Eigenvalues and eigenvectors', 'Iteration', 'Matrix (mathematics)', 'Euclidean vector', 'Absolute value']","['Mathematics', 'Absolute value', 'Euclidean vector', ""Horner's method"", 'Iteration', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Color space,[],"['Tuple', 'Drag and drop', 'RGB color model', 'Field extension', 'System of linear equations']","['Drag and drop', 'System of linear equations', 'Tuple', 'Field extension', 'RGB color model']"
Canonical form,"['Echelon formation', 'Matrix (mathematics)', 'Row equivalence', 'Distance matrix', 'Elementary mathematics']","['Matrix (mathematics)', 'Row echelon form', 'System of linear equations', 'Augmented matrix', 'Elementary matrix']","['Augmented matrix', 'Row echelon form', 'Elementary mathematics']"
Giuseppe Peano,['Vector space'],"['Vector space', 'Abstraction', 'Mathematician', 'Matrix (mathematics)', 'General relativity']","['Abstraction', 'Vector space', 'General relativity', 'Mathematician', 'Matrix (mathematics)']"
Set theory,"['Definition', 'Set-builder notation', 'Union (set theory)', 'Venn diagram', 'Linear regression']","['Empty set', 'Matrix (mathematics)', 'Field extension', 'Vector space', 'Column']","['Union (set theory)', 'Matrix (mathematics)', 'Vector space', 'Definition', 'Empty set', 'Venn diagram', 'Field extension', 'Column', 'Linear regression', 'Set-builder notation']"
Doubly stochastic matrix,[],"['Matrix (mathematics)', 'Exercise', 'Stochastic matrix', 'Probability', 'Compartment (heraldry)']","['Stochastic matrix', 'Compartment (heraldry)', 'Matrix (mathematics)', 'Exercise', 'Probability']"
Universal property,['Unit vector'],"['Euclidean vector', 'Unit vector', 'Angle', 'Polymer', 'Idea']","['Unit vector', 'Angle', 'Euclidean vector', 'Idea', 'Polymer']"
Polar space,"['Complex number', 'Complex plane']",[],"['Complex number', 'Complex plane']"
Continued fraction,"['Triangular matrix', 'Partial fraction decomposition', 'Regular expression']","['Fraction', 'Polynomial', 'Precision and recall', 'Algebraic fraction', 'Eigenvalues and eigenvectors']","['Regular expression', 'Precision and recall', 'Polynomial', 'Fraction', 'Triangular matrix', 'Algebraic fraction', 'Partial fraction decomposition', 'Eigenvalues and eigenvectors']"
Line (geometry),"['Vector (mathematics and physics)', 'Hyperplane', 'Euclidean vector', 'Vector space']","['Euclidean vector', 'Equation', 'Point (geometry)', 'Vector space', 'Parallel (geometry)']","['Vector space', 'Euclidean vector', 'Vector (mathematics and physics)', 'Parallel (geometry)', 'Point (geometry)']"
Symmetric group,[],"['Scalar (mathematics)', 'Exercise', 'Euclidean vector', 'Point (geometry)', 'Vertex (geometry)']","['Exercise', 'Euclidean vector', 'Point (geometry)', 'Scalar (mathematics)', 'Vertex (geometry)']"
Orientation (geometry),"['Sense', 'Size', 'Volume']","['Size function', 'Scalar multiplication', 'Axiom', 'Determinant', 'Euclidean vector']","['Euclidean vector', 'Size function', 'Determinant', 'Sense', 'Size', 'Scalar multiplication', 'Axiom', 'Volume']"
Evaluation,[],"['Diagonalizable matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Polynomial', 'Bird']","['Diagonalizable matrix', 'Bird', 'Polynomial', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Rigid rotor,"['Orthogonal matrix', 'Orthonormal basis', 'Congruence (geometry)']","['Matrix (mathematics)', 'Stochastic matrix', 'Plane (geometry)', 'Isometry', 'Euclid']","['Isometry', 'Stochastic matrix', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)', 'Euclid', 'Congruence (geometry)', 'Plane (geometry)']"
Indian mathematics,"['Homomorphism', 'Ring homomorphism']","['Homomorphism', 'Isomorphism', 'Function (mathematics)', 'Rational data type', 'Linear map']","['Function (mathematics)', 'Linear map', 'Rational data type', 'Ring homomorphism', 'Isomorphism', 'Homomorphism']"
Real projective line,[],"['Row echelon form', 'Matrix (mathematics)', 'Equivalence relation', 'Equivalence class', 'Gaussian elimination']","['Equivalence relation', 'Row echelon form', 'Equivalence class', 'Matrix (mathematics)', 'Gaussian elimination']"
Chromatic polynomial,[],"['Polynomial', 'Equation', 'Matrix (mathematics)', 'Function (mathematics)', 'Quadratic function']","['Function (mathematics)', 'Polynomial', 'Quadratic function', 'Equation', 'Matrix (mathematics)']"
Dyadic rational,['System of linear equations'],"['Field (mathematics)', 'Complex number', 'Rational data type', 'Characteristic (algebra)', 'Integer (computer science)']","['Field (mathematics)', 'Characteristic (algebra)', 'Rational data type', 'Integer (computer science)', 'System of linear equations', 'Complex number']"
Associative property,"['Vector space', 'Commutative property', 'Matrix multiplication']","['Vector space', 'Linear combination', 'Mathematics', 'Algebraic structure', 'Linear algebra']","['Mathematics', 'Linear combination', 'Vector space', 'Matrix multiplication', 'Algebraic structure', 'Linear algebra', 'Commutative property']"
Homogeneous coordinates,"['Numerical methods for ordinary differential equations', 'System of linear equations', 'Orientation character', 'Orthogonal matrix', 'Orthonormal basis']","['Matrix (mathematics)', 'Mathematical proof', 'Variable (mathematics)', 'System of linear equations', 'Equation']","['Orientation character', 'System of linear equations', 'Numerical methods for ordinary differential equations', 'Variable (mathematics)', 'Orthogonal matrix', 'Orthonormal basis', 'Equation', 'Matrix (mathematics)', 'Mathematical proof']"
Diophantine equation,"['System of linear equations', 'Vector space']","['System of linear equations', 'Matrix (mathematics)', 'Parametric equation', 'Equation', 'Euclidean vector']","['Vector space', 'System of linear equations', 'Equation', 'Matrix (mathematics)', 'Parametric equation']"
Vector space,"['System of linear equations', 'Vector (mathematics and physics)', 'Euclidean vector', 'Matrix (mathematics)', 'Vector space']","['Euclidean vector', 'Matrix (mathematics)', 'Geometry', 'System of linear equations', 'Point (geometry)']",['Geometry']
Mathematical and theoretical biology,['Junction Grammar'],"['Electrical network', 'Canal', 'Exercise', 'Resistor', 'Roundabout']","['Resistor', 'Electrical network', 'Roundabout', 'Junction Grammar', 'Canal', 'Exercise']"
Cartan matrix,"['Jordan matrix', 'Jordan normal form', 'Markov chain']","['Matrix (mathematics)', 'Diagonal', 'Kernel (linear algebra)', 'Canonical form', 'Dimension']","['Jordan matrix', 'Diagonal', 'Jordan normal form', 'Dimension', 'Canonical form', 'Kernel (linear algebra)', 'Matrix (mathematics)', 'Markov chain']"
Reductionism,['Euclid'],[],['Euclid']
Binary code,"['Code', 'Coding theory', 'Gray code', 'Hamming distance']","['Software bug', 'Finite field', 'Code word', 'Coding theory', 'Abstract algebra']","['Finite field', 'Hamming distance', 'Software bug', 'Code', 'Abstract algebra', 'Gray code', 'Coding theory', 'Code word']"
Congruence (geometry),"['Orthogonal matrix', 'Orthonormal basis', 'Mathematics']","['Matrix (mathematics)', 'Linear combination', 'Polynomial', 'Variable (mathematics)', 'Complex number']","['Mathematics', 'Linear combination', 'Polynomial', 'Orthogonal matrix', 'Variable (mathematics)', 'Complex number', 'Orthonormal basis', 'Matrix (mathematics)']"
Domain (mathematical analysis),[],"['Matrix (mathematics)', 'Stock market', 'Dot-com bubble', 'Function (mathematics)', 'Graph (discrete mathematics)']","['Function (mathematics)', 'Graph (discrete mathematics)', 'Dot-com bubble', 'Stock market']"
Cayley graph,"['Matrix (mathematics)', 'Triangular matrix', 'Minimal polynomial (field theory)']","['Scalar (mathematics)', 'Dimension', 'Matrix (mathematics)', 'Polynomial', 'Monic polynomial']","['Dimension', 'Polynomial', 'Monic polynomial', 'Triangular matrix', 'Matrix (mathematics)', 'Scalar (mathematics)', 'Minimal polynomial (field theory)']"
Knowledge economy,['Input–output model'],"['Matrix (mathematics)', 'Economic equilibrium', 'Economics', 'Multiplication', 'Stochastic matrix']","['Stochastic matrix', 'Multiplication', 'Input–output model', 'Economics', 'Economic equilibrium', 'Matrix (mathematics)']"
Simultaneous equations model,[],"['Vector space', 'Lemma (mathematics)', 'Matrix (mathematics)', 'Commutative property', 'Linear map']","['Linear map', 'Matrix (mathematics)', 'Vector space', 'Lemma (mathematics)', 'Commutative property']"
Anthropic principle,[],"['Multiplication', 'Option (finance)', 'Pudding', 'Salad', 'Soup']","['Multiplication', 'Salad', 'Pudding', 'Soup', 'Option (finance)']"
Molecular dynamics,"[""Schur's theorem"", 'Triangular matrix']","['Matrix (mathematics)', 'Diagonalizable matrix', 'Eigenvalues and eigenvectors', 'Unitary state', 'Unitary matrix']","['Diagonalizable matrix', 'Unitary state', 'Unitary matrix', 'Triangular matrix', ""Schur's theorem"", 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
GJMS operator,[],"['Minkowski space', 'Vector space', 'Subset', 'Mathematical proof', 'Dimension (vector space)']","['Dimension (vector space)', 'Minkowski space', 'Vector space', 'Subset', 'Mathematical proof']"
